URL,Date,Data source,User,Title,Category,,Notes,Log,,,Other facility,,Resolution,Bad attempts,,,,Bad suggestions,,,Votes,,Useless attempts,,Useless suggestion,,Quotations,Misc,,
,,,,,main,sub,,Read log?,Find key log?,Log msg,code,other,,#,actions,,useless,#,action,transfer,negative votes for bad suggestions,positive votes for bad suggestions,#,reason,#,reason,,,,
http://serverfault.com/questions/706351/mysql-replication-without-mysql-table-add-user-to-replicated-database-on-slave,7/16/2015,SF (MYSQL),/users/232579/hyperdevil,,Database ,create user,,Y,Y,1044 - Access denied for user 'root'@'%' to database 'bladiebla',N,N,,0.5,GRANT ALL ON bladiebla.*,,0,0.5,GRANT ALL ON bladiebla.* to root@'%',NA,,,1,X_WRN_PROB,0,,,,,
http://serverfault.com/questions/244072/how-do-i-create-a-read-only-mysql-user-for-backup-purposes-with-mysqldump,3/7/2011,SF (MYSQL),/users/15898/stickmangumby,,Database ,dump,,Y,Y,1044: Access denied for user 'username'@'localhost' to database 'information_schema' when using LOCK TABLES,N,N,,0,,,0,0,,,,,1,X_WRN_PROB,1,WRN_PROB,,,,
http://serverfault.com/questions/303882/mysql-privileges-required-to-grant-event-execute-lock-tables-and-trigger,8/22/2011,SF (MYSQL),/users/52951/brad,,Database ,grant,,Y,Y,Access denied for user 'user_a'@'%' to database 'some_db',N,N,,0,,,0,0,,,,,0,,0,,"With the GRANT OPTION privilege, you can only grant privileges that you have",,,
http://serverfault.com/questions/551096/couldnt-execute-show-events-on-mysqldump,11/6/2013,SF (MYSQL),/users/194768/adrian-ber,,Database ,BUG,,Y,Y,Couldn't execute 'show events': Access denied for user 'user'@'localhost' to database 'performance_schema',N,N,,0,,,0,1,unnecessary grant,N,0,1(1),0,,1,WRN_SUBSYS,,,,
http://dba.stackexchange.com/questions/65751/access-denied-for-user-error-when-creating-a-procedure,5/23/2014,DBA (MYSQL),/users/32911/4m1nh4j1,,Database ,create procedure,,Y,Y,ERROR 1044 (42000) at line 16: Access denied for user,N,N,,0,,,0,0,,,,,0,,0,,,,,
http://dba.stackexchange.com/questions/111502/no-mysql-database-in-mysql-server-how-do-i-give-users-permissions,8/19/2015,DBA (MYSQL),/users/72890/danielsank,,Database ,create table,,Y,Y,ERROR 1044 (42000): Access denied for user 'danielsank'@'localhost' to database 'purchases',N,N,,0,,,0,0,,,,,0,,0,,I am puzzled,"Although this mistake addressed by this answer is fairly elementary, I posted a question-answer because elsewhere on the internet people are advocating ""fixing"" this problem by nuking all of the permissions and starting over.",,
http://serverfault.com/questions/191849/unable-to-connect-to-database-as-created-user-error-1044-42000-access-denie,10/17/2010,SF (MYSQL),/users/54725/siliconpi,,Database ,login,,Y,Y,ERROR 1044 (42000): Access denied for user 'myusername'@'localhost' to database 'mydatabase',N,N,,0.5,GRANT ALL db.*,,0,0,,,,,0,,0,,,,,
http://dba.stackexchange.com/questions/77543/mysql-permission-denied-for-database,9/24/2014,DBA (MYSQL),/users/25809/max,,Database ,login,,Y,Y,ERROR 1044 (42000): Access denied for user 'root'@'%' to database 'abc',N,N,,0.5,GRANT ALL db.*,,0,0.5,GRANT ALL db.*,NA,,,0,,0,,,,,
http://dba.stackexchange.com/questions/78268/updating-mysql-trigger-via-information-schema-access-denied,9/30/2014,DBA (MYSQL),/users/22213/johannes-ernst,,Database ,Information Schema,,Y,Y,ERROR 1044 (42000): Access denied for user 'root'@'localhost' to database 'information_schema',N,N,,0,,,0,0,,,,,0,,0,,,,,
http://dba.stackexchange.com/questions/44327/convert-the-table-processlist-from-innodb-to-myisam,6/11/2013,DBA (MYSQL),/users/24850/fox,,Database ,ALTER,,Y,Y,ERROR 1044 (42000): Access denied for user 'root'@'localhost' to database 'information_schema',N,N,,0,,,0,0,,,,,0,,1,WRONG_PROB,"There is no way, because they are virtual tables",,,
http://serverfault.com/questions/168112/grant-database-user-folder-access,8/7/2010,SF (MYSQL),/users/41722/pj,,Database ,select,,Y,Y,#1045 - Access denied for user '[username]'@'localhost' (using password: YES),N,N,,0.5,GRANT ALL db.*,,0,0.5,GRANT ALL db.*,NA,,,1,X_WRN_SUBSYS,0,,How would I go about granting access to this user to create a file on the server?,That error has nothing to do with file or directory permissions.,,
http://dba.stackexchange.com/questions/127003/cant-access-mysql-database-with-created-user-through-dll,1/22/2016,DBA (MYSQL),/users/81280/sconz2,,Database ,LOAD DATA INFILE,,Y,Y,Access denied for user '####'@'%' (using password: YES),N,N,,1,GRANT ALL db.* (unnecessary),OVERGRANT_PRIV,1,0,,,,,1,X_WRN_PERM,0,,all privileges available at a given privilege level,does ALL includes FILE?,,
http://serverfault.com/questions/64723/php-and-mysql-remote-host,9/12/2009,SF (MYSQL),/users/3320/alex,,Database ,login,,Y,Y,Access denied for user 'root'@'10.1.1.1' (using password: YES),N,N,,0.5,GRANT ALL db.*,,0,0.5,GRANT ALL db.*,NA,,,0,,0,,,,,
http://serverfault.com/questions/342080/cannot-connect-to-a-mysql-server-using-mysql-workbench-with-no-apparent-reason,12/16/2011,SF (MYSQL),/users/104617/johnny-bigoode,,Database ,login,,Y,Y,Access denied for user 'root'@'172.29.70.25' (using password: YES),N,N,,1,"GRANT ALL PRIVILEGES ON *.* TO root@""%"" IDENTIFIED BY '1234';",OVERGRANT_PRIV,1,0,,,,,0,,1,WRN_SUBSYS,"The only solution I found was reformating the server. Not the best answer, but due to time constrains I couldn't do anything else.",,,
http://serverfault.com/questions/487535/how-to-allow-mysql-remote-access-from-a-dynamic-ip,3/13/2013,SF (MYSQL),/users/164422/tom-collins,,Database ,login,,Y,Y,Access denied for user 'root'@'c-67-166-150-41.hsd1.ca.comcast.net' (using password: YES),N,N,,1,GRANT ALL %,OVERGRANT_PRIV,0,1,GRANT ALL %,Y,0,1(7),1,,0,,http://dev.mysql.com/doc/refman/5.1/en/adding-users.html,"While this will work, permitting everything % or %comcast.net seems like a bad idea.",But additionally a DB should NEVER be exposed on the internet even with strong auth.,"Yes, it does seem like bad practice, but it's a quick and easy solution right now."
http://serverfault.com/questions/614094/mysql-access-denied-error-when-connecting-via-ssh-tunnel,7/21/2014,SF (MYSQL),/users/143947/adam,,Database ,login,,Y,Y,Access denied for user 'root'@'localhost' (using password: YES),N,N,,0,,,0,0,,,,,2,X_WRN_SUBSYS;X_WRN_PERM,1,WRN_SUBSYS,,,,
http://serverfault.com/questions/263186/access-denied-for-user-rootservername-using-password-no-except-i-am,4/25/2011,SF (MYSQL),/users/67258/db2,,Database ,login,,Y,Y,Access denied for user 'root'@'servername' (using password: NO),N,N,,0.5,GRANT ALL db.*,,0,0.5,GRANT ALL db.*,NA,,,1,X_WRN_SUBSYS,3,BLIND_GUNSHOT,"question, when it do ""host"" not allowed and whne it do #1045?",,,
http://serverfault.com/questions/297207/mysql-access-denied-with-here-document,8/3/2011,SF (MYSQL),/users/76508/nick,,Database ,FILE,,Y,Y,ERROR 1045 (28000) at line 3: Access denied for user 'username'@'localhost',N,N,,0,,,0,0,,,,,0,,2,WRN_SUBSYS;WRN_PARAM,You need FILE privilege to import data from file,,,
http://dba.stackexchange.com/questions/10852/mysql-error-access-denied-for-user-alocalhost-using-password-yes,1/18/2012,DBA (MYSQL),/users/2319/ogrish-man,,Database ,ORDER,,Y,Y,ERROR 1045 (28000): Access denied for user 'a'@'localhost' (using password: YES),N,N,,0,,,0,0,,,,,1,X_WRN_SUBSYS,4,BLIND_GUNSHOT;WRONG_SUBSYS;WRONG_PROB;WRONG_PROB,,,,
http://serverfault.com/questions/457650/access-denied-to-mysql-cause-by-invalid-server-hostname-bind-address,12/13/2012,SF (MYSQL),/users/146558/pelang,,Database ,login,,Y,Y,ERROR 1045 (28000): Access denied for user 'admin'@'localhost' (using password: YES),N,N,,0,,,0,1,skip-grant-table,N,0,1(2),0,,0,,,,,
http://serverfault.com/questions/720444/mysql-remote-server-connection-fails,9/6/2015,SF (MYSQL),/users/201660/tzook-bar-noy,,Database ,login,,Y,Y,ERROR 1045 (28000): Access denied for user 'bob'@'192.168.40.1' (using password: YES),N,N,,1,GRANT ALL PRIVILEGES ON *.* TO 'bob'@'192.168.40.1';,OVERGRANT_PRIV,1,1,too big priv,Y,0,1(4),1,X_WRN_PARAM,0,,using 'bob'@'%' may be convenient but it's not good practice especially when you know that bob is connecting from 192.168.40.1,"I'm working on this for 4 days and I know it is all over google, but I did all the required stuff but still no connection.",,
http://serverfault.com/questions/386903/mysql-grant-option,5/8/2012,SF (MYSQL),/users/55921/johannes-ernst,,Database ,grant,,Y,Y,ERROR 1045 (28000): Access denied for user 'debian-sys-maint'@'localhost' (using password: YES),N,N,,0,,,0,0,,,,,0,,0,,It's lacking the CREATE TABLESPACEprivilege.,PASSWORD is there!!!,,
http://dba.stackexchange.com/questions/17029/cannot-output-mysql-data-to-file,4/24/2012,DBA (MYSQL),/users/2781/dotancohen,,Database ,FILE,,Y,Y,ERROR 1045 (28000): Access denied for user 'gs'@'localhost' (using password: YES),N,N,,1,777,DISABLE_PROT,1,0,,,,,1,X_WRN_SUBSYS,0,,,,,
http://dba.stackexchange.com/questions/119254/my-root-account-has-been-deleted-for-unknown-reason-how-to-recover,10/26/2015,DBA (MYSQL),/users/79029/mohamed,,Database ,GRANT,,Y,Y,ERROR 1045 (28000): access denied for user 'john91'@'localhost' (using password: YES),N,N,,1,GRANT ALL *.*,OVERGRANT_PRIV,0,0,,,,,0,,0,,,,,
http://serverfault.com/questions/465873/creating-new-mysql-user-password-and-privileges-not-sticking,1/10/2013,SF (MYSQL),/users/85419/steve-perkins,,Database ,login,,Y,Y,ERROR 1045 (28000): Access denied for user 'myuser'@'localhost' (using password: YES),N,N,,0,,,0,0,,,,,0,,0,,You have an anonymose user for localhost and that anonymous user don't have any password.,,,
http://dba.stackexchange.com/questions/123934/mysql-cant-login-and-or-reset-password,12/17/2015,DBA (MYSQL),/users/82840/pacholik,,Database ,login,,Y,Y,ERROR 1045 (28000): Access denied for user 'ODBC'@'localhost' (using password: NO),N,N,,0,,,0,0,,,,,0,,1,WRN_PROB,"There are many similar questions, but none of them have helped me.",,,
http://dba.stackexchange.com/questions/125095/cannot-login-to-mysql-remotely,1/4/2016,DBA (MYSQL),/users/83770/doej,,Database ,login,,Y,Y,ERROR 1045 (28000): Access denied for user 'power'@'yoda.er.com' (using password: YES),N,N,,1,GRANT ALL (unecessary),OVERGRANT_PRIV,1,0,,,,,1,X_WRN_SUBSYS,4,WRN_PROB;WRN_PARAM;WRN_SUBSYS;WRN_SUBSYS,"I don't know if this in new or a setting I have without knowing but, adding an IP grant means no password needed (for years it was to have any access at all).",,,
http://dba.stackexchange.com/questions/16397/cannot-grant-privileges-as-root,4/12/2012,DBA (MYSQL),/users/8070/maaartinus,,Database ,GRANT,,Y,Y,ERROR 1045 (28000): Access denied for user 'root'@'localhost',N,N,,0,,,0,0,,,,,0,,1,WRN_PROB,,,,
http://serverfault.com/questions/343159/mysql-5-5-19-gets-error-1045-28000,6/21/2011,SF (MYSQL),/users/102161/user1062058,,Database ,login,,Y,Y,ERROR 1045 (28000): Access denied for user 'root'@'localhost' (using password: NO),N,N,,0,not sure whether he set back or not,,0,0,,,,,0,,0,,http://dev.mysql.com/doc/refman/5.0/en/resetting-permissions.html,,,
http://serverfault.com/questions/230012/mysql-access-denied-for-user-rootx-x-x-x,1/31/2011,SF (MYSQL),/users/36300/bragboy,,Database ,login,,Y,Y,ERROR 1045 (28000): Access denied for user 'root'@'x.x.x.x' (using password: YES),N,N,,3,"no root password, grant all *.*; comment bind_ip","DISABLE_PROT, DISABLE_PROT, OVERGRANT_PRIV",0,2,"no root passwd, grant all *.*",Y,0;0,0;1(14),1,X_WRN_SUBSYS,2,BLIND_GUNSHOT; WRN_SUBSYS,"after commenting the binding_address in the my.cnf file and restarting the mysql server, I am now able to hit it",,,
http://serverfault.com/questions/697314/mysql-command-does-not-execute-with-the-user-provided,6/8/2015,SF (MYSQL),/users/156485/rhose87,,Database ,dump,,Y,Y,ERROR 1045 (28000): Access denied for user 'some_user'@'host' (using password: YES),N,N,,1,root,OVERGRANT_PRIV,1,1,GRANT ALL,N,0,1(1),1,X_WRN_SUBSYS,0,,,,,
http://serverfault.com/questions/236506/centos-mysql-user,2/16/2011,SF (MYSQL),/users/11509/viraptor,,Database ,login,,Y,Y,ERROR 1045 (28000): Access denied for user 'username'@'localhost' (using password: YES),N,N,,0,,,0,0,,,,,0,,0,,,,,
http://serverfault.com/questions/1923/how-should-i-diagnose-error-1045-during-mysql-installation,5/1/2009,SF (MYSQL),/users/1245/redbluething,,Database ,login,,Y,Y,ERROR 1045: Access denied for user: 'root@localhost' (Using password: YES),N,N,,0,,,0,0,,,,,0,,0,,"Heh, I noticed that 1045 mapped to ""access denied"" when I read the message ""ERROR 1045: Access denied",,,
http://serverfault.com/questions/294008/system-upgrade-introduced-an-unusual-mysql-privilege-error,7/25/2011,SF (MYSQL),/users/984/zoredache,,Database ,dump (view),,Y,Y,mysqldump: Got error: 1045: Access denied for user 'backup'@'%'  (using password: YES) when using LOCK TABLE,N,N,,0,,,0,0,,,,,0,,1,WRN_PARAM,,,,
http://serverfault.com/questions/507914/mysql-working-remotely-but-not-localy,5/15/2013,SF (MYSQL),/users/145938/user1630391,,Database ,login,,Y,Y,SQLSTATE[28000] [1045] Access denied for user 'mysql'@'master.myapp.com' (using password: YES),N,N,,2,GRANT ALL (no password); comment bind,"DISABLE_PROT, OVERGRANT_PRIV",2,0,,,,,2,X_WRN_SUBSYS;X_WRN_PERM,0,,whops ... I forgot to specify the port when using mysql client from shell. Strangely it connected without asking a password.,,,
http://dba.stackexchange.com/questions/115687/connection-to-mysql-fails-via-php-while-command-line-works-fine,9/21/2015,DBA (MYSQL),/users/5068/benjamin,,Database (connector),login,,Y,Y,SQLSTATE[HY000] [1045] Access denied for user 'root'@'localhost' (using password: NO),N,N,,1,GRANT ALL *.*,OVERGRANT_PRIV,1,0,,,,,1,X_WRN_SUBSYS,0,,,,,
http://serverfault.com/questions/563095/cannot-connect-to-mysql-on-aws-through-ssh-tunnel,12/23/2013,SF (MYSQL),/users/203388/abbood,,Database ,login,,Y,Y,ERROR 1130 (HY000): Host '178.135.138.61' is not allowed to connect to this MySQL server,N,aws.log,,1.5,bind 0.0.0.0; GRANT ALL db.*,DISABLE_PROT,1,0.5,grant all db.*,NA,,,1,X_WRN_SUBSYS,0,,educate yourself by reading the documentation,,,
http://serverfault.com/questions/607961/boot2docker-mysql-privileges,6/25/2014,SF (MYSQL),/users/114828/kakawait,,Database ,login,,Y,Y,ERROR 1130 (HY000): Host '192.168.59.3' is not allowed to connect to this MySQL server,N,N,,1,GRANT ALL,OVERGRANT_PRIV,0,0,,,,,0,,0,,"Be careful posting hashes of passwords in public forums. Although it doesn't make any difference in this case, if you had chosen a secret password, posting the hash would allow brute-force cracking to begin. MySQL hashes are not stretched which makes them relatively quick to crack if the password choice is poor.",,,
http://serverfault.com/questions/571993/cant-connect-remotelly-to-mysql-server-from-digitalocean,2/4/2014,SF (MYSQL),/users/160204/lucasmx,,Database ,login,,Y,Y,ERROR 1130 (HY000): Host '192.XXX.XXX.XXX' is not allowed to connect to this MySQL server.,N,N,,0,,,0,0,,,,,0,,0,,"Im so sorry, but im not familiar using MySQL by SSH and i did not understood this command very well...",,,
http://serverfault.com/questions/486710/access-to-mysql-server-via-virtualbox,3/11/2013,SF (MYSQL),/users/163983/defance,,Database ,login,,Y,Y,Host '10.0.2.2' is not allowed to connect to this MySQL server,N,N,,2,GRANT ALL *.*;bind 0.0.0.0,"DISABLE_PROT, OVERGRANT_PRIV",1,0,,,,,1,X_WRN_SUBSYS,0,,why we need to grant all?,,,
http://serverfault.com/questions/457854/with-webmatrix-how-do-i-connect-to-a-mysql-database-on-a-colleagues-machine,12/13/2012,SF (MYSQL),/users/149528/ash-clarke,,Database ,login,,Y,Y,Host 'DESKTOP019-PC' is not allowed to connect to this MySQL server,N,N,,0.5,GRANT ALL on db.*,,0,0,,,,,0,,0,,"I think I need to grant my hostname permissions for this user, but given that I don't know where the database is or how to access it via command line (there's no proper MySQL folder in program files), it's going to prove difficult.",Hate it when a dumb thing takes you ages to find.,It turned out that I had written the username wrong also,
http://serverfault.com/questions/39699/unauthorised-to-connect-to-mysql-server-running-in-vm,7/13/2009,SF (MYSQL),/users/1030/ian,,Database ,login,,Y,Y,Host 'monolith.home' is not allowed to connect to this MySQL server,N,N,,1,GRANT ALL on *.*,OVERGRANT_PRIV,0,0,,,,,0,,0,,GRANT ALL PRIVILEGES on *.* to 'root'@'%.home' IDENTIFIED BY 'password',,,
http://serverfault.com/questions/667527/why-wont-mysql-accept-connections-from-local-programs,2/13/2015,SF (MYSQL),/users/220871/codemed,,Database ,login,,Y,Y,Host 'mydomain.com' is not allowed to connect to this MariaDB server,N,/etc/host,,0,,,0,0,,,,,1,X_WRN_PROB,1,WRN_PROB,"I have since reversed almost all the commands from the tutorial, with the exception of certain script calls whose inverse functions are not known. The error persists after the steps taken so far.",,,
http://serverfault.com/questions/174033/importing-a-mysqldump-file-does-not-import-triggers-due-to-some-permission-probl,8/24/2010,SF (MYSQL),/users/51792/giorgio79,,Database ,import,,Y,Y,ERROR 1227 (42000) at line 22: Access denied; you need (at least one of) the SUPER privilege(s) for this operation,N,N,,0,,,0,0,,,,,0,,0,,,,,
http://serverfault.com/questions/555953/first-attempt-to-migrate-ec2-mysql-to-amazon-rds-no-going-well-super-privilege,11/19/2013,SF (MYSQL),/users/188683/dsl101,,Database ,run stored routine,,Y,Y,ERROR 1227 (42000) at line 22: Access denied; you need (at least one of) the SUPER privilege(s) for this operation,N,perl tool,,0,,,0,0,,,,,2,X_WRN_PROB;X_WRN_PROB,1,WRN_PROB,,,,
http://serverfault.com/questions/290587/update-rds-db-via-mysqlbinlog-you-need-at-least-one-of-the-super-privileges,7/15/2011,SF (MYSQL),/users/56495/timoxley,,Database ,dump,,Y,Y,ERROR 1227 (42000) at line 6: Access denied; you need (at least one of) the SUPER privilege(s) for this operation,N,perl tool,,0,,,0,0,,,,,0,,0,,"Thanks I ended up doing it the most slow, stupid but reliable way possible: just taking the site down, taking a backup and moving the data in one big chunk. Thanks though, I have been wondering how people get around this for nearly a year now.",minimal downtime requirements,,
http://dba.stackexchange.com/questions/20221/mysql-user-permission-on-stored-procedure,7/1/2012,DBA,/users/972/adam-matan,,Database ,execute,,Y,Y,ERROR 1370 (42000): execute command denied to user ''@'localhost' for routine 'test.hello',N,N,,0,,,0,0,,,,,0,,0,,,,,
http://dba.stackexchange.com/questions/9249/how-do-i-change-the-definer-of-a-view-in-mysql,12/16/2011,DBA (MYSQL),/users/5133/kfmfe04,,Database ,Good example?,,Y,Y,mysqldump: Got error: 1449: The user specified as a definer ('root'@'foobar') does not exist when using LOCK TABLES,N,N,,0,,,0,0,,,,,0,,2,WRN_PROB;WRN_SUBSYS,,,,
http://serverfault.com/questions/223467/view-related-privileges-in-mysql,1/17/2011,SF (MYSQL),/users/53516/jason-swett,,Database ,dump,,Y,Y,mysqldump: Couldn't execute 'show create table `view_household`': SHOW VIEW command denied to user 'backup'@'localhost' for table 'view_household' (1142),N,N,,0,,,0,0,,,,,0,,0,,,,,
http://serverfault.com/questions/305452/mysql-deleting-the-sock-file-and-complained-about-the-permission-for-it,8/26/2011,SF (MYSQL),/users/81428/zhuanyi,,Database ,connect,,Y,Y,110826 18:00:22 [ERROR] Can't start server : Bind on unix socket: Permission denied,N,N,,1,1777,DISABLE_PROT,0,1,1777,Y,0,0,0,,2,WRN_SUBSYS;WRN_PROB,,,,
http://serverfault.com/questions/441716/after-creating-a-mysql-user-with-all-privileges-the-user-cannot-create-database,10/24/2012,SF (MYSQL),/users/101111/larry-b,,Database ,create db,,N,N,UNKNOWN,N,N,,1,GRANT ALL *.*,OVERGRANT_PRIV,1,0,,,,,1,X_WRN_PARAM,1,WRN_PROB,,,,
http://dba.stackexchange.com/questions/50258/how-to-join-table-from-different-database-with-different-users-of-database,9/20/2013,DBA (MYSQL),/users/28303/ashwinp,,Database ,select + join,,Y,Y,SELECT command denied to user 'root2'@'127.0.0.2' for table 'Product',N,N,,0.5,GRANT ALL db.*,,0,0,,,,,0,,0,,,,,
http://dba.stackexchange.com/questions/71890/unable-to-import-the-file,7/19/2014,DBA (MYSQL),/users/40918/karthick,,Database ,load,,Y,Y,ERROR 13 (HY000): Can't get stat of '/var/lib/mysql/home/karthick.g.s/Desktop/karthick.csv' (Errcode: 2),N,N,,0,,,0,0,,,,,0,,0,,,,,
http://dba.stackexchange.com/questions/13828/access-denied-for-user-myuser10-to-database-mydb-mysql-import-sql-scrip,2/24/2012,DBA (MYSQL),/users/2709/nick,,Database ,mysqldump,,Y,Y,UNKNOWN,N,N,,0,,,0,0,,,,,0,,0,,,,,
